Area,year,houseSales,meanHousePrice,MedianHousePrice,population,meanAnnualSalary,MedianAnnualSalary,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,realAWE,CPIH,CPI,OOH
Kingston-upon-Thames,2020,,,,81000,54000,34700,114,,,,,,,
Kingston-upon-Thames,2021,,,,82000,56500,35900,119,,,,,,,
Kingston-upon-Thames,2022,,,,,,,120,,,,,,,
Kingston-upon-Thames,2023,,,,,,,,,,,,,,
Lambeth,1975,,,,,,,,,,,,,,
Lambeth,1976,,,,,,,,,,,,,,
Lambeth,1977,,,,,,,,,,,,,,
Lambeth,1978,,,,,,,,,,,,,,
Lambeth,1979,,,,,,,,,,,,,,
Lambeth,1980,,,,,,,,,,,,,,
Lambeth,1981,,,,,,,,,,,,,,
Lambeth,1982,,,,,,,,,,,,,,
Lambeth,1983,,,,,,,,,,,,,,
Lambeth,1984,,,,,,,,,,,,,,
Lambeth,1985,,,,,,,,,,,,,,
Lambeth,1986,,,,,,,,,,,,,,
Lambeth,1987,,,,,,,,,,,,,,
Lambeth,1988,,,,,,,,,,,,,,
Lambeth,1989,,,,,,,,,,,,,,
Lambeth,1990,,,,,,,,,,,,,,
Lambeth,1991,,,,,,,,,,,,,,
Lambeth,1992,,,,,,,,,,,,,,
Lambeth,1993,,,,,,,,,,,,,,
Lambeth,1994,,,,,,,,,,,,,,
Lambeth,1995,3500,79654,66000,,,,,,,,,,,
Lambeth,1996,4820,95723,75000,,,,,,,,,,,
Lambeth,1997,5990,106315,85000,,,,,,,,,,,
Lambeth,1998,5664,127297,100000,,,,,,,,,,,
Lambeth,1999,6142,147147,121000,131000,20700,15400,58,,,,,,,
Lambeth,2000,5990,180931,156875,126000,21900,15300,60,,,,,,,
Lambeth,2001,5999,212198,174200,119000,25600,18200,62,,,,,,,
Lambeth,2002,6399,232540,195000,119000,25900,18800,63,,,,,,,
Lambeth,2003,5536,237940,202000,119000,26600,20000,66,,,,,,,
Lambeth,2004,6033,254231,220000,137000,26800,19900,68,,,,,,,
Lambeth,2005,5270,268878,229000,134000,28700,20700,70,,,,,,,
Lambeth,2006,6695,293653,246000,145000,30900,21600,74,,,,,,,
Lambeth,2007,6375,340604,280000,147000,33300,22200,70,,,,,,,
Lambeth,2008,2989,342138,275000,148000,34000,23000,73,,,,,,,
Lambeth,2009,2383,336758,275000,149000,35400,24000,82,,,,,,,
Lambeth,2010,3519,366963,302000,153000,34200,24000,85,,,,,,,
Lambeth,2011,3612,377944,310000,148000,35700,24600,98,,,,,,,
Lambeth,2012,3956,398776,321250,148000,37600,26000,98,,,,,,,
Lambeth,2013,4912,437456,350000,151000,40600,26800,102,,,,,,,
Lambeth,2014,4858,538040,420000,161000,41100,27300,107,,,,,,,
Lambeth,2015,4575,554122,460000,161000,43700,28400,110,,,,,,,
Lambeth,2016,3962,588579,507600,165000,43900,29200,108,,,,,,,
Lambeth,2017,3661,616126,518110,162000,45600,29900,108,,,,,,,
Lambeth,2018,,,,170000,47500,31900,107,,,,,,,
Lambeth,2019,,,,168000,49100,31900,105,,,,,,,
Lambeth,2020,,,,167000,51900,32800,108,,,,,,,
Lambeth,2021,,,,169000,56100,34500,110,,,,,,,
Lambeth,2022,,,,,,,115,,,,,,,
Lambeth,2023,,,,,,,,,,,,,,
Lewisham,1975,,,,,,,,,,,,,,
Lewisham,1976,,,,,,,,,,,,,,
Lewisham,1977,,,,,,,,,,,,,,
Lewisham,1978,,,,,,,,,,,,,,
Lewisham,1979,,,,,,,,,,,,,,
Lewisham,1980,,,,,,,,,,,,,,
Lewisham,1981,,,,,,,,,,,,,,
Lewisham,1982,,,,,,,,,,,,,,
Lewisham,1983,,,,,,,,,,,,,,
Lewisham,1984,,,,,,,,,,,,,,
Lewisham,1985,,,,,,,,,,,,,,
Lewisham,1986,,,,,,,,,,,,,,
Lewisham,1987,,,,,,,,,,,,,,
Lewisham,1988,,,,,,,,,,,,,,
Lewisham,1989,,,,,,,,,,,,,,
Lewisham,1990,,,,,,,,,,,,,,
Lewisham,1991,,,,,,,,,,,,,,
Lewisham,1992,,,,,,,,,,,,,,
Lewisham,1993,,,,,,,,,,,,,,
Lewisham,1994,,,,,,,,,,,,,,
Lewisham,1995,3383,61562,55500,,,,,,,,,,,
Lewisham,1996,4224,62846,57500,,,,,,,,,,,
Lewisham,1997,5128,73183,64000,,,,,,,,,,,
Lewisham,1998,4963,83082,71250,,,,,,,,,,,
Lewisham,1999,5677,96266,82000,106000,18200,14900,52,,,,,,,
Lewisham,2000,5496,118227,99995,129000,19400,15300,55,,,,,,,
Lewisham,2001,5639,136125,122000,113000,21600,18000,57,,,,,,,
Lewisham,2002,6277,161305,145000,113000,21400,17300,59,,,,,,,
Lewisham,2003,5665,185154,165000,114000,21500,17000,58,,,,,,,
Lewisham,2004,6003,198402,180000,130000,23100,18100,62,,,,,,,
Lewisham,2005,4827,205393,185000,124000,25200,20000,64,,,,,,,
Lewisham,2006,6015,223323,204300,124000,25800,20900,68,,,,,,,
Lewisham,2007,6110,247998,224998,137000,27100,21000,71,,,,,,,
Lewisham,2008,2619,250581,227000,120000,28000,22000,75,,,,,,,
Lewisham,2009,2122,239481,215000,117000,28700,22300,77,,,,,,,
Lewisham,2010,2818,263878,235000,121000,29300,23200,77,,,,,,,
Lewisham,2011,2880,267820,240000,126000,29800,22900,82,,,,,,,
Lewisham,2012,3280,281909,249000,121000,30400,23000,87,,,,,,,
Lewisham,2013,4199,305825,260000,126000,31500,24000,96,,,,,,,
Lewisham,2014,4485,360998,315000,135000,32400,24900,98,,,,,,,
Lewisham,2015,4484,403589,360000,131000,34500,25800,98,,,,,,,
Lewisham,2016,4096,434769,387000,138000,35900,26700,96,,,,,,,
Lewisham,2017,3309,475142,430000,140000,36800,27300,96,,,,,,,
Lewisham,2018,,,,140000,38000,27900,95,,,,,,,
Lewisham,2019,,,,139000,41100,30100,92,,,,,,,
Lewisham,2020,,,,141000,42600,30900,95,,,,,,,
Lewisham,2021,,,,149000,44800,32000,95,,,,,,,
Lewisham,2022,,,,,,,96,,,,,,,
Lewisham,2023,,,,,,,,,,,,,,
Merton,1975,,,,,,,,,,,,,,
Merton,1976,,,,,,,,,,,,,,
Merton,1977,,,,,,,,,,,,,,
Merton,1978,,,,,,,,,,,,,,
Merton,1979,,,,,,,,,,,,,,
Merton,1980,,,,,,,,,,,,,,
Merton,1981,,,,,,,,,,,,,,
Merton,1982,,,,,,,,,,,,,,
Merton,1983,,,,,,,,,,,,,,
Merton,1984,,,,,,,,,,,,,,
Merton,1985,,,,,,,,,,,,,,
Merton,1986,,,,,,,,,,,,,,
Merton,1987,,,,,,,,,,,,,,
Merton,1988,,,,,,,,,,,,,,
Merton,1989,,,,,,,,,,,,,,
Merton,1990,,,,,,,,,,,,,,
Merton,1991,,,,,,,,,,,,,,
Merton,1992,,,,,,,,,,,,,,
Merton,1993,,,,,,,,,,,,,,
Merton,1994,,,,,,,,,,,,,,
Merton,1995,3229,96344,74450,,,,,,,,,,,
Merton,1996,4035,103989,80000,,,,,,,,,,,
Merton,1997,4545,113866,84950,,,,,,,,,,,
Merton,1998,4327,136021,96950,,,,,,,,,,,
Merton,1999,5139,162996,120000,92000,27900,19100,55,,,,,,,
Merton,2000,4136,186627,139950,109000,27900,18400,56,,,,,,,
Merton,2001,4696,204604,160000,96000,28900,18500,58,,,,,,,
Merton,2002,4904,234692,185000,94000,31600,21200,62,,,,,,,
Merton,2003,4157,246892,200000,86000,31300,19700,60,,,,,,,
Merton,2004,4647,277341,224999,105000,31600,19400,63,,,,,,,
Merton,2005,3804,283600,233000,103000,34800,20500,66,,,,,,,
Merton,2006,4827,303443,242000,104000,37200,21600,69,,,,,,,
Merton,2007,4522,374834,263375,113000,39400,22300,69,,,,,,,
Merton,2008,2264,369174,261500,110000,40000,23000,77,,,,,,,
Merton,2009,2235,361132,250000,106000,44000,24100,77,,,,,,,
Merton,2010,2553,433780,289000,105000,43100,24700,79,,,,,,,
Merton,2011,2620,437253,295000,106000,43700,25200,77,,,,,,,
Merton,2012,2784,424513,290000,105000,44400,25800,81,,,,,,,
Merton,2013,3226,473134,321250,105000,48700,27800,82,,,,,,,
Merton,2014,3077,537708,385000,106000,46900,27600,82,,,,,,,
Merton,2015,2911,571363,420000,108000,50800,28500,83,,,,,,,
Merton,2016,2560,587371,450000,111000,53200,29500,85,,,,,,,
Merton,2017,2415,638519,470000,111000,54600,30200,85,,,,,,,
Merton,2018,,,,108000,56300,30300,86,,,,,,,
Merton,2019,,,,112000,55300,30300,86,,,,,,,
Merton,2020,,,,112000,58500,32600,101,,,,,,,
Merton,2021,,,,114000,63000,33900,101,,,,,,,
Merton,2022,,,,,,,107,,,,,,,
Merton,2023,,,,,,,,,,,,,,
Newham,1975,,,,,,,,,,,,,,
Newham,1976,,,,,,,,,,,,,,
Newham,1977,,,,,,,,,,,,,,
Newham,1978,,,,,,,,,,,,,,
Newham,1979,,,,,,,,,,,,,,
Newham,1980,,,,,,,,,,,,,,
Newham,1981,,,,,,,,,,,,,,
Newham,1982,,,,,,,,,,,,,,
Newham,1983,,,,,,,,,,,,,,
Newham,1984,,,,,,,,,,,,,,
Newham,1985,,,,,,,,,,,,,,
Newham,1986,,,,,,,,,,,,,,
Newham,1987,,,,,,,,,,,,,,
Newham,1988,,,,,,,,,,,,,,
Newham,1989,,,,,,,,,,,,,,
Newham,1990,,,,,,,,,,,,,,
Newham,1991,,,,,,,,,,,,,,
Newham,1992,,,,,,,,,,,,,,
Newham,1993,,,,,,,,,,,,,,
Newham,1994,,,,,,,,,,,,,,
Newham,1995,2974,47528,46750,,,,,,,,,,,
Newham,1996,3401,50082,50000,,,,,,,,,,,
Newham,1997,3822,57380,56000,,,,,,,,,,,
Newham,1998,4036,65286,63500,,,,,,,,,,,
Newham,1999,4422,75326,71973,80000,15800,13300,49,,,,,,,
Newham,2000,4907,97266,91995,95000,17000,14700,54,,,,,,,
Newham,2001,5531,117223,112000,88000,17700,15300,56,,,,,,,
Newham,2002,5573,145563,141000,96000,17300,15000,59,,,,,,,
Newham,2003,5455,177796,173000,96000,17400,14500,60,,,,,,,
Newham,2004,4765,191477,186995,112000,18500,15100,58,,,,,,,
Newham,2005,3945,203395,197600,109000,19200,15200,61,,,,,,,
Newham,2006,4489,211861,211500,115000,19600,15800,64,,,,,,,
Newham,2007,4408,231013,230000,122000,21000,16500,68,,,,,,,
Newham,2008,2708,243171,235000,120000,21100,17000,71,,,,,,,
Newham,2009,1424,206115,200000,118000,21900,17600,73,,,,,,,
Newham,2010,1693,219872,220000,123000,21700,17400,74,,,,,,,
Newham,2011,1615,214915,219000,127000,22000,17600,98,,,,,,,
Newham,2012,1708,218974,219000,130000,23100,18500,95,,,,,,,
Newham,2013,2332,233074,230000,124000,24800,20100,101,,,,,,,
Newham,2014,2869,269497,250000,130000,25400,20200,98,,,,,,,
Newham,2015,2834,319348,310000,136000,27300,22100,101,,,,,,,
Newham,2016,2737,370476,355000,134000,28200,22500,103,,,,,,,
Newham,2017,3384,409477,390500,141000,30000,24100,100,,,,,,,
Newham,2018,,,,154000,31000,24300,99,,,,,,,
Newham,2019,,,,158000,31700,24600,102,,,,,,,
Newham,2020,,,,144000,34300,26600,105,,,,,,,
Newham,2021,,,,146000,36100,28300,107,,,,,,,
Newham,2022,,,,,,,111,,,,,,,
Newham,2023,,,,,,,,,,,,,,
Redbridge,1975,,,,,,,,,,,,,,
Redbridge,1976,,,,,,,,,,,,,,
Redbridge,1977,,,,,,,,,,,,,,
Redbridge,1978,,,,,,,,,,,,,,
Redbridge,1979,,,,,,,,,,,,,,
Redbridge,1980,,,,,,,,,,,,,,
Redbridge,1981,,,,,,,,,,,,,,
Redbridge,1982,,,,,,,,,,,,,,
Redbridge,1983,,,,,,,,,,,,,,
Redbridge,1984,,,,,,,,,,,,,,
Redbridge,1985,,,,,,,,,,,,,,
Redbridge,1986,,,,,,,,,,,,,,
Redbridge,1987,,,,,,,,,,,,,,
Redbridge,1988,,,,,,,,,,,,,,
Redbridge,1989,,,,,,,,,,,,,,
Redbridge,1990,,,,,,,,,,,,,,
Redbridge,1991,,,,,,,,,,,,,,
Redbridge,1992,,,,,,,,,,,,,,
Redbridge,1993,,,,,,,,,,,,,,
Redbridge,1994,,,,,,,,,,,,,,
Redbridge,1995,4001,75003,67995,,,,,,,,,,,
Redbridge,1996,4664,80572,71000,,,,,,,,,,,
Redbridge,1997,5138,86048,76375,,,,,,,,,,,
Redbridge,1998,4803,95245,85000,,,,,,,,,,,
Redbridge,1999,5543,109668,97500,96000,21700,17100,68,,,,,,,
Redbridge,2000,4980,131900,119000,98000,21700,16900,69,,,,,,,
Redbridge,2001,5782,155125,138000,118000,23800,17200,70,,,,,,,
Redbridge,2002,6306,185697,168000,111000,24000,18700,68,,,,,,,
Redbridge,2003,5743,211539,195000,111000,24100,19000,68,,,,,,,
Redbridge,2004,5900,232737,217500,120000,24500,17800,70,,,,,,,
Redbridge,2005,4923,238364,225000,122000,26500,20000,72,,,,,,,
Redbridge,2006,5837,256576,238000,126000,28300,20700,74,,,,,,,
Redbridge,2007,5477,280740,250000,128000,29100,21600,79,,,,,,,
Redbridge,2008,3026,280700,250000,126000,30000,22000,81,,,,,,,
Redbridge,2009,2552,255681,230000,124000,30200,22300,84,,,,,,,
Redbridge,2010,2968,286209,250000,128000,29400,22200,84,,,,,,,
Redbridge,2011,2539,294854,250000,127000,30900,22900,89,,,,,,,
Redbridge,2012,2509,303591,265000,128000,31800,23800,99,,,,,,,
Redbridge,2013,2947,315401,275000,130000,33100,25100,103,,,,,,,
Redbridge,2014,3574,338667,300000,131000,33900,25700,105,,,,,,,
Redbridge,2015,3294,387917,350000,140000,35300,26400,105,,,,,,,
Redbridge,2016,2960,423130,390000,137000,35500,27400,106,,,,,,,
Redbridge,2017,2569,452437,420000,136000,37100,28000,105,,,,,,,
Redbridge,2018,,,,138000,37100,27300,105,,,,,,,
Redbridge,2019,,,,138000,38500,28900,105,,,,,,,
Redbridge,2020,,,,139000,40300,30400,109,,,,,,,
Redbridge,2021,,,,138000,42700,31200,112,,,,,,,
Redbridge,2022,,,,,,,118,,,,,,,
Redbridge,2023,,,,,,,,,,,,,,
Richmond-upon-Thames,1975,,,,,,,,,,,,,,
Richmond-upon-Thames,1976,,,,,,,,,,,,,,
Richmond-upon-Thames,1977,,,,,,,,,,,,,,
Richmond-upon-Thames,1978,,,,,,,,,,,,,,
Richmond-upon-Thames,1979,,,,,,,,,,,,,,
Richmond-upon-Thames,1980,,,,,,,,,,,,,,
Richmond-upon-Thames,1981,,,,,,,,,,,,,,
Richmond-upon-Thames,1982,,,,,,,,,,,,,,
Richmond-upon-Thames,1983,,,,,,,,,,,,,,
Richmond-upon-Thames,1984,,,,,,,,,,,,,,
Richmond-upon-Thames,1985,,,,,,,,,,,,,,
Richmond-upon-Thames,1986,,,,,,,,,,,,,,
Richmond-upon-Thames,1987,,,,,,,,,,,,,,
Richmond-upon-Thames,1988,,,,,,,,,,,,,,
Richmond-upon-Thames,1989,,,,,,,,,,,,,,
Richmond-upon-Thames,1990,,,,,,,,,,,,,,
Richmond-upon-Thames,1991,,,,,,,,,,,,,,
Richmond-upon-Thames,1992,,,,,,,,,,,,,,
Richmond-upon-Thames,1993,,,,,,,,,,,,,,
Richmond-upon-Thames,1994,,,,,,,,,,,,,,
Richmond-upon-Thames,1995,3455,138737,108000,,,,,,,,,,,
Richmond-upon-Thames,1996,4957,150296,118500,,,,,,,,,,,
Richmond-upon-Thames,1997,5391,172729,136000,,,,,,,,,,,
Richmond-upon-Thames,1998,4911,201779,159000,,,,,,,,,,,
Richmond-upon-Thames,1999,5977,237840,183500,86000,37300,20900,,,,,,,,
Richmond-upon-Thames,2000,4062,284503,219500,113000,36700,21100,,,,,,,,
Richmond-upon-Thames,2001,4752,300995,227000,94000,41500,23400,,,,,,,,
Richmond-upon-Thames,2002,5294,324221,249950,93000,39500,23100,,,,,,,,
Richmond-upon-Thames,2003,4622,346906,265000,84000,42700,25600,,,,,,,,
Richmond-upon-Thames,2004,4998,383815,291250,102000,41800,24500,,,,,,,,
Richmond-upon-Thames,2005,4315,392783,299950,102000,47500,25800,,,,,,,,
Richmond-upon-Thames,2006,5404,434585,330000,99000,52500,27300,,,,,,,,
Richmond-upon-Thames,2007,4692,510950,381000,104000,56900,29100,,,,,,,,
Richmond-upon-Thames,2008,2412,508911,375000,103000,57000,30000,,,,,,,,
Richmond-upon-Thames,2009,2600,508409,376425,101000,58900,30800,,,,,,,,
Richmond-upon-Thames,2010,3217,550796,400000,101000,56300,30600,,,,,,,,
Richmond-upon-Thames,2011,3147,570178,420000,104000,57400,31500,,,,,,,,
Richmond-upon-Thames,2012,3289,590459,430000,102000,58800,33400,,,,,,,,
Richmond-upon-Thames,2013,3608,644778,475000,107000,64000,33700,,,,,,,,
Richmond-upon-Thames,2014,3425,730459,534995,104000,64600,35800,,,,,,,,
Richmond-upon-Thames,2015,3234,754191,577750,104000,67300,35500,,,,,,,,
Richmond-upon-Thames,2016,2884,775357,605000,103000,67000,36600,,,,,,,,
Richmond-upon-Thames,2017,2642,819044,650000,108000,69000,36100,,,,,,,,
Richmond-upon-Thames,2018,,,,105000,73800,37600,,,,,,,,
Richmond-upon-Thames,2019,,,,104000,77400,38900,,,,,,,,
Richmond-upon-Thames,2020,,,,106000,77900,39500,,,,,,,,
Richmond-upon-Thames,2021,,,,104000,90400,44000,,,,,,,,
Richmond-upon-Thames,2022,,,,,,,,,,,,,,
Richmond-upon-Thames,2023,,,,,,,,,,,,,,
Southwark,1975,,,,,,,,,,,,,,
Southwark,1976,,,,,,,,,,,,,,
Southwark,1977,,,,,,,,,,,,,,
Southwark,1978,,,,,,,,,,,,,,
Southwark,1979,,,,,,,,,,,,,,
Southwark,1980,,,,,,,,,,,,,,
Southwark,1981,,,,,,,,,,,,,,
Southwark,1982,,,,,,,,,,,,,,
Southwark,1983,,,,,,,,,,,,,,
Southwark,1984,,,,,,,,,,,,,,
Southwark,1985,,,,,,,,,,,,,,
Southwark,1986,,,,,,,,,,,,,,
Southwark,1987,,,,,,,,,,,,,,
Southwark,1988,,,,,,,,,,,,,,
Southwark,1989,,,,,,,,,,,,,,
Southwark,1990,,,,,,,,,,,,,,
Southwark,1991,,,,,,,,,,,,,,
Southwark,1992,,,,,,,,,,,,,,
Southwark,1993,,,,,,,,,,,,,,
Southwark,1994,,,,,,,,,,,,,,
Southwark,1995,2650,84677,71000,,,,,,,,,,,
Southwark,1996,3132,87617,72625,,,,,,,,,,,
Southwark,1997,4429,103515,85000,,,,,,,,,,,
Southwark,1998,4384,121755,99000,,,,,,,,,,,
Southwark,1999,5252,142789,123000,114000,20400,14600,55,,,,,,,
Southwark,2000,5075,184697,155000,120000,22500,15400,57,,,,,,,
Southwark,2001,5273,209574,180000,97000,25900,16900,59,,,,,,,
Southwark,2002,5140,221727,190000,111000,24600,17900,58,,,,,,,
Southwark,2003,4699,240345,208500,115000,25400,18200,60,,,,,,,
Southwark,2004,5395,252682,225000,124000,26300,17800,61,,,,,,,
Southwark,2005,4542,273515,239973,133000,29500,20000,67,,,,,,,
Southwark,2006,5624,289173,247000,136000,31800,20400,70,,,,,,,
Southwark,2007,5262,332738,276000,136000,36000,21900,73,,,,,,,
Southwark,2008,2507,328055,278000,130000,36000,22000,77,,,,,,,
Southwark,2009,2357,338570,285000,127000,36800,23300,80,,,,,,,
Southwark,2010,3333,376688,314500,136000,35400,23800,81,,,,,,,
Southwark,2011,3205,400980,320000,138000,36500,24300,85,,,,,,,
Southwark,2012,3374,415796,332250,135000,37500,25000,94,,,,,,,
Southwark,2013,4240,441747,350000,136000,40500,26200,99,,,,,,,
Southwark,2014,3868,518144,420000,140000,41600,27700,99,,,,,,,
Southwark,2015,4035,583065,475000,144000,44200,27100,104,,,,,,,
Southwark,2016,3609,643858,512750,148000,45400,29400,101,,,,,,,
Southwark,2017,3379,641210,530000,146000,48600,29400,100,,,,,,,
Southwark,2018,,,,158000,49400,31400,99,,,,,,,
Southwark,2019,,,,152000,53400,33500,102,,,,,,,
Southwark,2020,,,,146000,55300,33900,105,,,,,,,
Southwark,2021,,,,156000,57800,34400,107,,,,,,,
Southwark,2022,,,,,,,113,,,,,,,
Southwark,2023,,,,,,,,,,,,,,
Sutton,1975,,,,,,,,,,,,,,
Sutton,1976,,,,,,,,,,,,,,
Sutton,1977,,,,,,,,,,,,,,
Sutton,1978,,,,,,,,,,,,,,
Sutton,1979,,,,,,,,,,,,,,
Sutton,1980,,,,,,,,,,,,,,
Sutton,1981,,,,,,,,,,,,,,
Sutton,1982,,,,,,,,,,,,,,
Sutton,1983,,,,,,,,,,,,,,
Sutton,1984,,,,,,,,,,,,,,
Sutton,1985,,,,,,,,,,,,,,
Sutton,1986,,,,,,,,,,,,,,
Sutton,1987,,,,,,,,,,,,,,
Sutton,1988,,,,,,,,,,,,,,
Sutton,1989,,,,,,,,,,,,,,
Sutton,1990,,,,,,,,,,,,,,
Sutton,1991,,,,,,,,,,,,,,
Sutton,1992,,,,,,,,,,,,,,
Sutton,1993,,,,,,,,,,,,,,
Sutton,1994,,,,,,,,,,,,,,
Sutton,1995,3389,76952,67000,,,,,,,,,,,
Sutton,1996,4270,79561,69000,,,,,,,,,,,
Sutton,1997,4573,88169,75000,,,,,,,,,,,
Sutton,1998,4481,100413,85000,,,,,,,,,,,
Sutton,1999,5037,113447,98000,93000,21000,16400,54,,,,,,,
Sutton,2000,4398,138136,119950,82000,21900,17000,55,,,,,,,
Sutton,2001,4878,153408,132500,98000,23100,17600,55,,,,,,,
Sutton,2002,5059,177432,156000,93000,23700,17800,58,,,,,,,
Sutton,2003,4531,197763,175000,90000,24600,18400,59,,,,,,,
Sutton,2004,4740,212522,187000,95000,25600,18900,64,,,,,,,
Sutton,2005,3843,225682,200000,101000,26300,20200,65,,,,,,,
Sutton,2006,4820,239235,210000,99000,28400,21400,69,,,,,,,
Sutton,2007,4748,261248,233000,100000,30000,22500,75,,,,,,,
Sutton,2008,2397,259375,230000,100000,30000,23000,77,,,,,,,
Sutton,2009,2420,239794,210000,98000,30000,23200,80,,,,,,,
Sutton,2010,2377,264951,235000,103000,29100,22300,81,,,,,,,
Sutton,2011,2444,267042,233000,99000,31400,25300,87,,,,,,,
Sutton,2012,2568,272250,240000,97000,32400,25000,95,,,,,,,
Sutton,2013,2994,286681,250000,103000,32800,25100,99,,,,,,,
Sutton,2014,3396,322434,285000,102000,33600,25900,109,,,,,,,
Sutton,2015,3260,358826,320250,102000,35400,27400,109,,,,,,,
Sutton,2016,3206,387585,347500,103000,35500,27300,108,,,,,,,
Sutton,2017,2901,402121,367000,103000,36900,28200,107,,,,,,,
Sutton,2018,,,,101000,38500,29700,107,,,,,,,
Sutton,2019,,,,102000,40200,30200,108,,,,,,,
Sutton,2020,,,,100000,41400,31400,112,,,,,,,
Sutton,2021,,,,102000,45200,33300,115,,,,,,,
Sutton,2022,,,,,,,120,,,,,,,
Sutton,2023,,,,,,,,,,,,,,
Tower Hamlets,1975,,,,,,,,,,,,,,
Tower Hamlets,1976,,,,,,,,,,,,,,
Tower Hamlets,1977,,,,,,,,,,,,,,
Tower Hamlets,1978,,,,,,,,,,,,,,
Tower Hamlets,1979,,,,,,,,,,,,,,
Tower Hamlets,1980,,,,,,,,,,,,,,
Tower Hamlets,1981,,,,,,,,,,,,,,
Tower Hamlets,1982,,,,,,,,,,,,,,
Tower Hamlets,1983,,,,,,,,,,,,,,
Tower Hamlets,1984,,,,,,,,,,,,,,
Tower Hamlets,1985,,,,,,,,,,,,,,
Tower Hamlets,1986,,,,,,,,,,,,,,
Tower Hamlets,1987,,,,,,,,,,,,,,
Tower Hamlets,1988,,,,,,,,,,,,,,
Tower Hamlets,1989,,,,,,,,,,,,,,
Tower Hamlets,1990,,,,,,,,,,,,,,
Tower Hamlets,1991,,,,,,,,,,,,,,
Tower Hamlets,1992,,,,,,,,,,,,,,
Tower Hamlets,1993,,,,,,,,,,,,,,
Tower Hamlets,1994,,,,,,,,,,,,,,
Tower Hamlets,1995,2155,76933,67500,,,,,,,,,,,
Tower Hamlets,1996,2511,88715,77000,,,,,,,,,,,
Tower Hamlets,1997,3833,110807,95000,,,,,,,,,,,
Tower Hamlets,1998,4559,129367,115000,,,,,,,,,,,
Tower Hamlets,1999,5531,159999,140000,59000,22900,14200,59,,,,,,,
Tower Hamlets,2000,5101,190411,162500,81000,25000,16500,63,,,,,,,
Tower Hamlets,2001,5003,208596,184950,76000,29900,19100,68,,,,,,,
Tower Hamlets,2002,4771,222708,200000,76000,28500,19300,70,,,,,,,
Tower Hamlets,2003,4149,237860,211000,69000,28300,18300,70,,,,,,,
Tower Hamlets,2004,5841,260847,230000,90000,29600,19200,67,,,,,,,
Tower Hamlets,2005,4849,265639,238000,89000,31500,19800,70,,,,,,,
Tower Hamlets,2006,5365,281493,249995,103000,33500,19400,73,,,,,,,
Tower Hamlets,2007,5463,333393,290000,103000,37400,21200,77,,,,,,,
Tower Hamlets,2008,2562,328379,289998,110000,38000,23000,81,,,,,,,
Tower Hamlets,2009,2996,333797,290000,110000,38300,24500,84,,,,,,,
Tower Hamlets,2010,3788,345385,305000,107000,37400,24000,86,,,,,,,
Tower Hamlets,2011,3368,345026,300000,112000,38200,24700,92,,,,,,,
Tower Hamlets,2012,3600,355588,305000,115000,39000,25800,99,,,,,,,
Tower Hamlets,2013,4376,383842,329000,119000,40800,27000,104,,,,,,,
Tower Hamlets,2014,5004,445319,385000,121000,41800,26600,111,,,,,,,
Tower Hamlets,2015,4074,483423,425000,122000,45000,28900,112,,,,,,,
Tower Hamlets,2016,4551,524508,470000,130000,46600,30500,115,,,,,,,
Tower Hamlets,2017,3290,554009,490000,136000,46600,30200,111,,,,,,,
Tower Hamlets,2018,,,,136000,49300,31100,110,,,,,,,
Tower Hamlets,2019,,,,140000,50100,32700,109,,,,,,,
Tower Hamlets,2020,,,,139000,52700,34100,112,,,,,,,
Tower Hamlets,2021,,,,147000,55500,35500,114,,,,,,,
Tower Hamlets,2022,,,,,,,119,,,,,,,
Tower Hamlets,2023,,,,,,,,,,,,,,
Waltham Forest,1975,,,,,,,,,,,,,,
Waltham Forest,1976,,,,,,,,,,,,,,
Waltham Forest,1977,,,,,,,,,,,,,,
Waltham Forest,1978,,,,,,,,,,,,,,
Waltham Forest,1979,,,,,,,,,,,,,,
Waltham Forest,1980,,,,,,,,,,,,,,
Waltham Forest,1981,,,,,,,,,,,,,,
Waltham Forest,1982,,,,,,,,,,,,,,
Waltham Forest,1983,,,,,,,,,,,,,,
Waltham Forest,1984,,,,,,,,,,,,,,
Waltham Forest,1985,,,,,,,,,,,,,,
Waltham Forest,1986,,,,,,,,,,,,,,
Waltham Forest,1987,,,,,,,,,,,,,,
Waltham Forest,1988,,,,,,,,,,,,,,
Waltham Forest,1989,,,,,,,,,,,,,,
Waltham Forest,1990,,,,,,,,,,,,,,
Waltham Forest,1991,,,,,,,,,,,,,,
Waltham Forest,1992,,,,,,,,,,,,,,
Waltham Forest,1993,,,,,,,,,,,,,,
Waltham Forest,1994,,,,,,,,,,,,,,
Waltham Forest,1995,3301,58120,55000,,,,,,,,,,,
Waltham Forest,1996,3994,60623,56000,,,,,,,,,,,
Waltham Forest,1997,4619,67020,62000,,,,,,,,,,,
Waltham Forest,1998,4643,77012,71000,,,,,,,,,,,
Waltham Forest,1999,5297,88497,79995,91000,18500,15000,60,,,,,,,
Waltham Forest,2000,5035,105279,96000,114000,19600,15100,63,,,,,,,
Waltham Forest,2001,5334,123846,118000,99000,20300,16600,64,,,,,,,
Waltham Forest,2002,5373,155056,149000,102000,20100,17200,67,,,,,,,
